id,adr,lat,long
346,Route Nationale 330,266399.0,4915867.0
347,carrefour route de Paris,112969.0,4936887.0
348,1597 route de Paris,116659.0,4940098.0
349,1376 route de paris,116777.0,4940059.0
350,route de lyons la foret,127392.0,4940982.0
351,d 7,112793.0,4935150.0
352,Rue croix de Trouville,126827.0,4942880.0
353,Rue des canadiens,118744.0,4938069.0
354,CD 10,35011.0,4955344.0
355,Départementale 39,33492.0,4954817.0
356,ROUTE D'ÉTRETAT,32090.0,4955970.0
357,Route industrielle,29727.0,4947427.0
358,intersection D982/BD IND,35650.0,4948340.0
359,273 rue de l'église,32065.0,4949631.0
360,Intersection RD6015/RD81,34280.0,4952947.0
361,RD915 Lieu dit les balai,120309.0,4979575.0
362,RD 929,158486.0,4975383.0
363,rue de drincourt,143715.0,4973318.0
364,D97,138739.0,4976560.0
365,rue de la motte,143950.0,4973258.0
366,RD 60,151331.0,4977105.0
367,intersection des CD 157,144198.0,4973910.0
368,route de DIEPPE,119078.0,4980239.0
369,Intersection CD1/CD61,150202.0,4957219.0
370,CD 61 / CD 156,163565.0,4959814.0
371,Intersection D8 et Rue P,169314.0,4959146.0
372,RD 1314 PK 02.28,153723.0,4962863.0
373,le moulin de Haussez,166592.0,4958067.0
374,D919 - PK 31+200,167158.0,4965714.0
375,13 Avenue des Sources,154140.0,4961125.0
376,D 131,73034.0,4965685.0
377,RD 131E,71614.0,4961347.0
378,route des tots,72621.0,4966170.0
379,Avenue FOCH,74950.0,4961844.0
380,D 37,77056.0,4964697.0
381,Route de  la linerie,76185.0,4963928.0
382,CD37,77670.0,4964877.0
383,Route des tots,71889.0,4965674.0
384,D37,76919.0,4964028.0
385,CD 33,66160.0,4961260.0
386,CD 34,69560.0,4960320.0
387,route de sainte gertrude,69715.0,4954617.0
388,Avenue du Latham 47,77644.0,4951692.0
389,1 avenue du Latham 47,74967.0,4952344.0
390,2464 route du Wuy,75597.0,4947728.0
391,D 490 PONT DE BROTONNE,74715.0,4952045.0
392,route de yerville,92778.0,4961196.0
393,Route de Langrume,95821.0,4960730.0
394,13 Route de Sainte Austr,96437.0,4958684.0
395,Rue Auguste Badin,94704.0,4954274.0
396,RD 104 - RD 88,89379.0,4956203.0
397,D22,101521.0,4964884.0
398,CD 142,95400.0,4958030.0
399,VC7,96821.0,4953456.0
400,D6154 PK 017+500,116650.0,4892550.0
401,D833,136764.0,4890902.0
402,D830 - PK 018+310,92042.0,4895600.0
403,4 route d'orleans,115569.0,4899577.0
404,Rue de la croix de fer,94133.0,4895920.0
405,D23,78550.0,4897410.0
406,Rue Saint Etienne,91065.0,4905938.0
407,Rue F Decorchemont,95982.0,4896177.0
408,6 grande rue,110126.0,4899729.0
409,Avenue du Général De Gau,110067.0,4901133.0
410,RD 31,103123.0,4903843.0
411,rue du sec iton,103153.0,4894334.0
412,D840,92353.0,4906190.0
413,Rue de la Forge,92378.0,4896176.0
414,D830,104999.0,4900226.0
415,Route Départementale 830,105848.0,4900340.0
416,Rue Saint Léger - Inters,90839.0,4907307.0
417,Inter RD830 et RD60,102242.0,4898620.0
418,Route Fresne,96705.0,4896638.0
419,D830,87620.0,4894430.0
420,D830,98174.0,4896670.0
421,intersection rue Félix D,110803.0,4899943.0
422,Rue de Frément,96858.0,4902325.0
423,12 Rue Pierre BEREGOVOY,93390.0,4895636.0
424,"lieu-dit ""Mare aux chêne",91927.0,4893092.0
425,Rue Sainte Marthe,85374.0,4897272.0
426,"RN 13 - PK 3,750",142366.0,4901049.0
427,D181,139942.0,4903252.0
428,164 grande rue / sous le,143510.0,4894174.0
429,50 RUE DE L'ANCIENNE ABB,130258.0,4904918.0
430,CARREFOUR RD141/RD653,134422.0,4899461.0
431,40 rue Edouard Isambard,137958.0,4901382.0
432,Rue du marchis / Rue Dul,138346.0,4901606.0
433,route départementale 67,129708.0,4897545.0
434,RD67 - la houssaye du co,128959.0,4897558.0
435,119 rue Edouard Isambard,138730.0,4901360.0
436,RN13 PK1+300,145216.0,4901471.0
437,rue du moulin,125073.0,4898550.0
438,Route des rouges pommier,140570.0,4919668.0
439,RD316 - av République,141560.0,4924623.0
440,3 rue du lièvre - réside,143941.0,4925596.0
441,RUE SAINT-FIACRE,143906.0,4925057.0
442,D 135,139690.0,4923624.0
443,rd 313,138312.0,4919512.0
444,5 rue georges lemée,149799.0,4928137.0
445,RD 125,150504.0,4925345.0
446,23 avenue de la républiq,141302.0,4924567.0
447,146 rue de la liberation,166653.0,4920458.0
448,D1,150182.0,4918542.0
449,Route de Fourges,160980.0,4909635.0
450,D7 - lieu dit LA CROIX -,160010.0,4919440.0
451,RD 181,150371.0,4912574.0
452,CD133,112470.0,4919740.0
453,Route de louviers - D.71,116956.0,4918497.0
454,Route de Louviers,117052.0,4906119.0
455,Route de la vallée D52,116371.0,4907842.0
456,Lieu dit LE MOUCHEL,118661.0,4913385.0
457,rue de la fontaine des m,136355.0,4915398.0
458,Rd 316 PR 19.500,134079.0,4915228.0
459,3 Rue Yves Montand,133277.0,4916084.0
460,Avenue Jean Jaures,134803.0,4915433.0
461,rue de la croix du vallo,140368.0,4915294.0
462,intersection RD57 - RD65,137444.0,4906414.0
463,ROUTE DÉPARTEMENTALE 65,134154.0,4917309.0
464,Intersection D10/D75,128175.0,4913737.0
465,Départementale 6015,134579.0,4915747.0
466,ROUTE DÉPARTEMENTALE 69,121545.0,4911975.0
467,D316,122387.0,4907256.0
468,RUE DU VAL ASSELIN,137861.0,4914742.0
469,Rd 316,129156.0,4910488.0
470,RD316 PKk 17+600,131994.0,4914572.0
471,RD6015,125378.0,4918412.0
472,D6015,132380.0,4916289.0
473,D57,137763.0,4906452.0
474,Départementale 6015,139602.0,4914675.0
475,CD6015,115390.0,4932970.0
476,Rond point D321,113003.0,4930365.0
477,D321,112108.0,4930478.0
478,Sortie parking SUPER U,115754.0,4931899.0
479,D321,123002.0,4932827.0
480,RD 20,119131.0,4933764.0
481,rue du moulins / rue du,123025.0,4932146.0
482,RD 34,-173141.0,4805434.0
483,D77 pont St Armel,-174564.0,4801521.0
484,rond point de cicé bloss,-176105.0,4803172.0
485,rue Hippolyte Bousquet,-175675.0,4802378.0
486,rue de la Noé,-174724.0,4802356.0
487,rue des vignes,-157903.0,4815235.0
488,LA CHUPINIERE,-132821.0,4824313.0
489,RD 112 PR 25+900 à haute,-138209.0,4817395.0
490,rue du Bois Hamon,-134691.0,4822106.0
491,Rond point de Tizé,-158249.0,4814000.0
492,46 avenue du général de,-150907.0,4820992.0
493,RD 34,-179446.0,4805876.0
494,Chemin du Patis Cochet,-187465.0,4810245.0
495,les Ponciaux,-184971.0,4806352.0
496,RD 62,-187576.0,4806077.0
