id,adr,lat,long
57783,rue nationale,292191.0,5051326.0
57784,5 rue sonneville,295314.0,5053611.0
57785,rue Jules Guesde,288786.0,5052174.0
57786,46 rue Sonneville,295700.0,5053723.0
57787,Rue roger salengro,293798.0,5052999.0
57788,Route des ansereuilles,294679.0,5054956.0
57789,"38, rue Jules Guesde",290832.0,5051159.0
57790,116 rue camille desmouli,291391.0,5050902.0
57791,route des ansereuilles,294735.0,5055120.0
57792,route départementale 141,289663.0,5059231.0
57793,29 rue du général lecler,280677.0,5053167.0
57794,D145,290483.0,5057954.0
57795,rue du vert touquet,285818.0,5062351.0
57796,D145,290676.0,5058064.0
57797,D19 - rue de Lille,315609.0,5051584.0
57798,Boulevard du petit quinq,311491.0,5057672.0
57799,37 rue de roubaix,317197.0,5052733.0
57800,D 549 - Route de Pont -à,309178.0,5053136.0
57801,D54,310034.0,5054769.0
57802,CD54 - AXE RELIANT LES C,311011.0,5055176.0
57803,cd  549,319113.0,5049627.0
57804,rue de wachemy,318902.0,5054129.0
57805,186 rue Denis cordonnier,302395.0,5045836.0
57806,D943,237248.0,5068507.0
57807,5 rue d'aire,249978.0,5068300.0
57808,139 grand place,252148.0,5075677.0
57809,RD916,251129.0,5068343.0
57810,rue du croquet,240615.0,5069467.0
57811,RD 943 - MONT DU PIL,237300.0,5068572.0
57812,68 place de l'hotel de v,251553.0,5069162.0
57813,rue de  steenvoorde,255746.0,5076191.0
57814,RD 943 - Mont du pil,239435.0,5066416.0
57815,RUE DE CASSEL,247076.0,5073443.0
57816,1924 rue de la gare,263167.0,5070965.0
57817,RD318 Route du Parc,271529.0,5077746.0
57818,373 Balassche Straete,269959.0,5075502.0
57819,RD 18,266664.0,5076598.0
57820,chemin de westoutre,273169.0,5078720.0
57821,CD 318 - Route du parc,271529.0,5077746.0
57822,CD 122,276251.0,5066313.0
57823,rue du collège,271953.0,5064781.0
57824,rue de la gendarmerie,273420.0,5063688.0
57825,rue du collège,272026.0,5064736.0
57826,rue du calvaire,271895.0,5068232.0
57827,rue Général DE GAULLE,272270.0,5064103.0
57828,rue de la lys,276072.0,5064883.0
57829,54 rue de la gendarmerie,272664.0,5063752.0
57830,route de Merville,270457.0,5064247.0
57831,"15, chemin de la Blanche",275167.0,5069756.0
57832,24 rue Simone Weil,264696.0,5064512.0
57833,3 rue Thiers,263931.0,5064340.0
57834,rue du docteur rousseau,264115.0,5063681.0
57835,Rue du 11 Novembre,253978.0,5064282.0
57836,D122,266636.0,5062986.0
57837,CD 90  - carrefour de l',322887.0,5059063.0
57838,120 Grand Rue,326818.0,5058957.0
57839,1 Route  Nationale,318819.0,5061121.0
57840,Face au commerce ALDI 12,327096.0,5060791.0
57841,rue Deffontaines,323095.0,5061457.0
57842,CD90 rue de SAINT AMAND,322960.0,5060838.0
57843,37 route  nationale,319851.0,5061138.0
57844,rue Henri  connynck,320942.0,5053189.0
57845,122 rue de Douai,328103.0,5052285.0
57846,route de saint amand,332461.0,5051070.0
57847,1 rue maurice molhant D9,323893.0,5056090.0
57848,rue de  Fournes,323284.0,5052745.0
57849,route de péronne au nive,316904.0,5056992.0
57850,224 ROUTE DE ST AMAND -,331727.0,5051338.0
57851,rocade de la lys CD945,293447.0,5070249.0
57852,RUE DE LINSELLES,300220.0,5071607.0
57853,4584 chemin de l'aventur,295514.0,5069316.0
57854,3 rue de messines,302002.0,5067232.0
57855,face au 3 route d'arment,296804.0,5074239.0
57856,départementale 36,302724.0,5071813.0
57857,route de lambersart,301029.0,5066410.0
57858,route d'Armentières,297032.0,5074378.0
57859,CD 945 HAMEAU BELLEVUE,296986.0,5072841.0
57860,Intersection RD 945,295068.0,5073014.0
57861,31 rue Jean Monnet,351383.0,5029064.0
57862,route d' avesnes,335090.0,5026610.0
57863,croisement rue Emmanuel,330895.0,5028209.0
57864,Rue d'hordain - hainaut,333219.0,5027343.0
57865,Carrefour D81-D449,337870.0,5026485.0
57866,CD 88,341198.0,5026564.0
